Headlines,Value,Suffix,Note
Primary,11,%,of Primary schools said they attract additional funding for arts curriculum or enrichment activity.
Secondary,33,%,of Secondary schools said they attract additional funding for arts curriculum or enrichment activity.
Through Schools,50,%,of Through schools said they attract additional funding for arts curriculum or enrichment activity.
Special Schools,33,%,of Special schools said they attract additional funding for arts curriculum or enrichment activity.
