13_arts_facilities,Primary School,Secondary School,Special School,Through School,Total,Suffix
A drama studio,0,19,0,20,39,%
A music studio,2,16,0,20,38,%
A theatre/hall space with production facilities,34,19,20,20,93,%
Art studios,6,19,10,10,45,%
Music lesson/practice rooms,28,19,20,20,87,%
No arts/creative facilities,24,0,50,0,74,%
Other arts/creative facilities,6,6,0,10,22,%
