03_school_type,total_respondents,percent_respondents,unit,notes
Primary,35,66,%,of survey respondents were from a Primary school
Secondary,6,11,%,of survey respondents were from a Secondary school
Special School,6,11,%,of survey respondents were from a Special school
Through School,2,4,%,of survey respondents were from a Through school
