Headlines,Value,Suffix,Note
Competitions & Showcases,50,%,actively sign-post for pupils to develop creative skills and participate in arts opportunities beyond the curriculum
Signposting beyond the curriculum,60,%,enter pupils into competitions or showcases - whether that is at a local community or regional/national level
