Headlines,Value,Suffix,Note
Curriculum Exemplar,1,%,of all respondents said they consider their school to be an exemplar in areas of the arts curriculum
Lacking Expertise,0,%,of all respondents said they consider their school to lack areas of expertise in delivering the arts curriculum
