trip_types,Primary,Secondary,Special School,Through School,Suffix
Don't know,3,0,0,0,%
Other arts trips,11,0,33,0,%
Trips to a concert,29,50,0,50,%
Trips to a dance performance,11,50,17,50,%
Trips to a gallery,46,67,17,100,%
Trips to a heritage site,31,50,33,0,%
Trips to a library,51,33,83,50,%
Trips to a museum,83,50,33,100,%
Trips to a theatre to see a play or musical,57,83,50,100,%
Trips to community organisations,23,17,33,0,%
Trips to the cinema,23,33,50,50,%
