Headlines,Value,Suffix,Note
Partnerships,45,%,said they have a partnership with any local arts organisations
Delivering activities,71,%,said their school invites external practitioners to deliver creative activities
School partnerships,28,%,said their school partners with other schools to support the arts curriculum
