Headlines,Value,Suffix,Note
Creative career advice,16,%,of all respondents said their school have someone able to give specialist advice on career pathways into the arts
Practitioner engagement opportunities,71,%,of all respondents said their school gives pupils opportunities to engage with arts practitioners
Supporting teacher CPD,81,%,of all respondents said their school support teachers' CPD in arts subjects
Pupil Progression,7,%,of all respondents said their school holds data on pupil progression to study arts in further or higher education
