3_school_type,totals,responded_yes,percent_responded_yes,unit,notes
Primary,38,28,74,%,of Primary schools who responded to the survey said they have a commitment to the arts
Secondary,6,5,83,%,of Secondary schools who responded to the survey said they have a commitment to the arts
Special School,7,2,29,%,of Special schools who responded to the survey said they have a commitment to the arts
Through School,2,1,50,%,of Through schools who responded to the survey said they have a commitment to the arts
